Name	Set	ImageFile	Type	Mode
Brothers in Arms	Alpha	Brothers_in_Arms	Advantage, Autobot	
Bump and Run	Alpha	Bump_and_Run	Advantage, Autobot	
Buried Alive	Alpha	Buried_Alive	Advantage, Autobot	
Concentrated Fire	Alpha	Concentrated_Fire	Advantage, Autobot	
Conned 'Con	Alpha	Conned_Con	Advantage, Autobot	
Continuous Tinkering	Alpha	Continuous_Tinkering	Advantage, Autobot	
Dinobot Crackdown	Alpha	Dinobot_Crackdown	Advantage, Autobot	
Disrupted Supply Lines	Alpha	Disrupted_Supply_Lines	Advantage, Autobot	
Electro-Mesh Prison	Alpha	Electro-Mesh_Prison	Advantage, Autobot	
Equally Unstable Ground	Alpha	Equally_Unstable_Ground	Advantage, Autobot	
Grapling Dart	Alpha	Grapling_Dart	Advantage, Autobot	
Heroic Rescue	Alpha	Heroic_Rescue	Advantage, Autobot	
Hidden Bumber Gun	Alpha	Hidden_Bumber_Gun	Advantage, Autobot	
Hydrofoil Conversion	Alpha	Hydrofoil_Conversion	Advantage, Autobot	
Interception	Alpha	Interception	Advantage, Autobot	
Jet Tether	Alpha	Jet_Tether	Advantage, Autobot	
Jetpack	Alpha	Jetpack	Advantage, Autobot	
Life Line	Alpha	Life_Line	Advantage, Autobot	
Nimble Evasion	Alpha	Nimble_Evasion	Advantage, Autobot	
On Patrol	Alpha	On_Patrol	Advantage, Autobot	
Overhaul	Alpha	Overhaul	Advantage, Autobot	
Plugging the Works	Alpha	Plugging_the_Works	Advantage, Autobot	
Prehistoric Posse	Alpha	Prehistoric_Posse	Advantage, Autobot	
Pushing Forward	Alpha	Pushing_Forward	Advantage, Autobot	
Rescue Partners	Alpha	Rescue_Partners	Advantage, Autobot	
Shoulder Mounted Rocket	Alpha	Shoulder_Mounted_Rocket	Advantage, Autobot	
Valiant Charge	Alpha	Valiant_Charge	Advantage, Autobot	
Alligaticon Prime	Alpha	Alligaticon_Prime	Advantage, Decepticon	
Baseless Accusations	Alpha	Baseless_Accusations	Advantage, Decepticon	
Circuit Linker	Alpha	Circuit_Linker	Advantage, Decepticon	
Constructicons Unite!	Alpha	Constructicons_Unite	Advantage, Decepticon	
Data Thief	Alpha	Data_Thief	Advantage, Decepticon	
Death From Above	Alpha	Death_From_Above	Advantage, Decepticon	
Deathtrap	Alpha	Deathtrap	Advantage, Decepticon	
Direct Hit	Alpha	Direct_Hit	Advantage, Decepticon	
Dome of Invulnerability (SubAtlantican)	Alpha	Dome_of_Invulnerability_	Advantage, Decepticon	
Expert Work Crew	Alpha	Expert_Work_Crew	Advantage, Decepticon	
Fire from Cover	Alpha	Fire_from_Cover	Advantage, Decepticon	
Homing Laser	Alpha	Homing_Laser	Advantage, Decepticon	
Impersonation	Alpha	Impersonation	Advantage, Decepticon	
Insecticons Arise	Alpha	Insecticons_Arise	Advantage, Decepticon	
Invisibility Spray	Alpha	Invisibility_Spray	Advantage, Decepticon	
Long Range Theft	Alpha	Long_Range_Theft	Advantage, Decepticon	
Mobile Battlefield	Alpha	Mobile_Battlefield	Advantage, Decepticon	
Overload	Alpha	Overload	Advantage, Decepticon	
Radio for Support	Alpha	Radio_for_Support	Advantage, Decepticon	
Rewarding Retreat	Alpha	Rewarding_Retreat	Advantage, Decepticon	
Scientific Analysis	Alpha	Scientific_Analysis	Advantage, Decepticon	
Seeder Troops	Alpha	Seeder_Troops	Advantage, Decepticon	
Selfish Destruction	Alpha	Selfish_Destruction	Advantage, Decepticon	
Sidewinder Missiles	Alpha	Sidewinder_Missiles	Advantage, Decepticon	
Trapped	Alpha	Trapped	Advantage, Decepticon	
Anti-Matter Lab	Alpha	Anti-Matter_Lab	Resource	
Arc	Alpha	Arc	Resource	
Bergen Solar Energy Plant	Alpha	Bergen_Solar_Energy_Plant	Resource	
Burma Crystal Mine	Alpha	Burma_Crystal_Mine	Resource	
City of Sub-Atlantica	Alpha	City_of_Sub-Atlantica	Resource	
Cybertonium Pits	Alpha	Cybertonium_Pits	Resource	
Cybertron Energy Stockpile	Alpha	Cybertron_Energy_Stockpile	Resource	
Cybertron Warehouse	Alpha	Cybertron_Warehouse	Resource	
Dinobot Island	Alpha	Dinobot_Island	Resource	
EJK Research Center	Alpha	EJK_Research_Center	Resource	
Generator Sub-Station	Alpha	Generator_Sub-Station	Resource	
Heart of Cybertron	Alpha	Heart_of_Cybertron	Resource	
High-Grain Crops	Alpha	High-Grain_Crops	Resource	
Iacon of Cybertron	Alpha	Iacon_of_Cybertron	Resource	
Iron Mountain	Alpha	Iron_Mountain	Resource	
Kingston Oil Fields	Alpha	Kingston_Oil_Fields	Resource	
Kingston Oil Reserves	Alpha	Kingston_Oil_Reserves	Resource	
Lost Cybertronian Shuttle	Alpha	Lost_Cybertronian_Shuttle	Resource	
Military Test Site	Alpha	Military_Test_Site	Resource	
Negavator	Alpha	Negavator	Resource	
Nemesis	Alpha	Nemesis	Resource	
Nightbird	Alpha	Nightbird	Resource	
Nova Power Core	Alpha	Nova_Power_Core	Resource	
Oceanic Oil Rig	Alpha	Oceanic_Oil_Rig	Resource	
Power Relay Station	Alpha	Power_Relay_Station	Resource	
Quantum Labs	Alpha	Quantum_Labs	Resource	
Scrap Metal Refinery	Alpha	Scrap_Metal_Refinery	Resource	
Secluded Hangers	Alpha	Secluded_Hangers	Resource	
Sherman Dam	Alpha	Sherman_Dam	Resource	
Solar Needle	Alpha	Solar_Needle	Resource	
Solar Power Station #001	Alpha	Solar_Power_Station__001	Resource	
Solar Power Tower	Alpha	Solar_Power_Tower	Resource	
Sub-Atlantican Depths	Alpha	Sub-Atlantican_Depths	Resource	
Sub-Atlantican Furnace	Alpha	Sub-Atlantican_Furnace	Resource	
T.O.R.Q. III	Alpha	TORQ_III	Resource	
World Energy Chip	Alpha	World_Energy_Chip	Resource	
Beachcomber	Alpha	Beachcomber	Robot, Autobot	CAR MODE) Dunebuggy [1E] Escape battle and return to Homebase without takeing damage.
Bluestreak	Alpha	Bluestreak	Robot, Autobot	
Brawn	Alpha	Brawn	Robot, Autobot	
Bumblebee	Alpha	Bumblebee	Robot, Autobot	
Cliffjumper	Alpha	Cliffjumper	Robot, Autobot	
Cosmos	Alpha	Cosmos	Robot, Autobot	UFO MODE) Communications [4E] From Homebase, allow any Autobot in the field to join battle.
Gears	Alpha	Gears	Robot, Autobot	CAR MODE) Infared [3E] Look at opponent's hand.
Grapple	Alpha	Grapple	Robot, Autobot	TRUCK MODE) Precision Craine [3E] Search Supply Deck and place any installation Resource into play.
Grimlock (Dinobot)	Alpha	Grimlock_	Robot, Autobot	DINO MODE) Me, Grimelock, King: Grimlock gains +1 STR for every battle the Autobots win that involve Grimlock.
